id,section,subsection,item,sourcing,status,source_name,source_url,license,attribution,target_stub
A0021,1.3 Tilesets & Environment Modules (Act by Act),general,"Mars tileset pack (barricades, arenas, ironworks)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/mars-tileset-pack-barricades-arenas-ironworks.asset-request.json
A0022,1.3 Tilesets & Environment Modules (Act by Act),general,"Jupiter tileset pack (tribunal architecture, civic plazas)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/jupiter-tileset-pack-tribunal-architecture-civic-plazas.asset-request.json
A0023,1.3 Tilesets & Environment Modules (Act by Act),general,"Saturn tileset pack (bare stone, winter groves, threshold ruins)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/saturn-tileset-pack-bare-stone-winter-groves-threshold-ruins.asset-request.json
A0024,1.3 Tilesets & Environment Modules (Act by Act),general,"Generic interiors (rooms, corridors, service spaces)",OS-Ship,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/generic-interiors-rooms-corridors-service-spaces.asset-request.json
A0025,1.3 Tilesets & Environment Modules (Act by Act),general,"Utility tiles (stairs, doors, ladders, railings)",OS-Ship,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/utility-tiles-stairs-doors-ladders-railings.asset-request.json
A0026,1.3 Tilesets & Environment Modules (Act by Act),general,Collision-only helper tiles,OS-Ship,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/collision-only-helper-tiles.asset-request.json
A0027,1.4 Props & Interactive Objects,general,Memory shard pickups (21 visual variants),Custom,pending,,,,,preproduction/assets/1-4-props-interactive-objects/general/memory-shard-pickups-21-visual-variants.asset-request.json
A0028,1.4 Props & Interactive Objects,general,"Relic objects (notebook, ring, badge, medical tag, seal, review frame, family object)",Custom,pending,,,,,preproduction/assets/1-4-props-interactive-objects/general/relic-objects-notebook-ring-badge-medical-tag-seal-review-frame-family-object.asset-request.json
A0029,1.4 Props & Interactive Objects,general,"Puzzle devices (mirrors, scales, inscriptions, braziers, registers)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-4-props-interactive-objects/general/puzzle-devices-mirrors-scales-inscriptions-braziers-registers.asset-request.json
A0030,1.4 Props & Interactive Objects,general,"Signage, banners, codex terminals, witness altars",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-4-props-interactive-objects/general/signage-banners-codex-terminals-witness-altars.asset-request.json
A0031,1.4 Props & Interactive Objects,general,"Ambient props (books, crates, lamps, benches, planters, vases)",OS-Ship,pending,,,,,preproduction/assets/1-4-props-interactive-objects/general/ambient-props-books-crates-lamps-benches-planters-vases.asset-request.json
A0032,1.5 VFX / Pixel Effects,general,Coherence hit/depletion FX,Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/coherence-hit-depletion-fx.asset-request.json
A0033,1.5 VFX / Pixel Effects,general,Clarity gain FX,Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/clarity-gain-fx.asset-request.json
A0034,1.5 VFX / Pixel Effects,general,Garment weight aura overlays (7 channels),Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/garment-weight-aura-overlays-7-channels.asset-request.json
A0035,1.5 VFX / Pixel Effects,general,Witness overlay and layer reveal shaders,Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/witness-overlay-and-layer-reveal-shaders.asset-request.json
A0036,1.5 VFX / Pixel Effects,general,Name glyph reveal/truth-line VFX,Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/name-glyph-reveal-truth-line-vfx.asset-request.json
A0037,1.5 VFX / Pixel Effects,general,Attune pulse/radius FX,Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/attune-pulse-radius-fx.asset-request.json
A0038,1.5 VFX / Pixel Effects,general,Expose glare strip effect,Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/expose-glare-strip-effect.asset-request.json
A0039,1.5 VFX / Pixel Effects,general,Stand impact/parry and refusal FX,OS-Temp -> Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/stand-impact-parry-and-refusal-fx.asset-request.json
A0040,1.5 VFX / Pixel Effects,general,Weigh consequence branch visualization FX,Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/weigh-consequence-branch-visualization-fx.asset-request.json
A0041,1.5 VFX / Pixel Effects,general,Release dissolve/quieting FX,Custom,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/release-dissolve-quieting-fx.asset-request.json
A0042,1.5 VFX / Pixel Effects,general,"Environmental ambient FX (dust, motes, rain, leaves, fog)",OS-Ship,pending,,,,,preproduction/assets/1-5-vfx-pixel-effects/general/environmental-ambient-fx-dust-motes-rain-leaves-fog.asset-request.json
A0043,1.6 UI Sprites & Icons,general,Coherence meter frames/fills,Custom,pending,,,,,preproduction/assets/1-6-ui-sprites-icons/general/coherence-meter-frames-fills.asset-request.json
A0044,1.6 UI Sprites & Icons,general,Clarity pips/icons,Custom,pending,,,,,preproduction/assets/1-6-ui-sprites-icons/general/clarity-pips-icons.asset-request.json
A0045,1.6 UI Sprites & Icons,general,Inquiry wheel icons (Observe/Ask/Name/Challenge/Confess/Release/Silence),Custom,pending,,,,,preproduction/assets/1-6-ui-sprites-icons/general/inquiry-wheel-icons-observe-ask-name-challenge-confess-release-silence.asset-request.json
A0046,1.6 UI Sprites & Icons,general,Verb prompt icons (7 sphere verbs),Custom,pending,,,,,preproduction/assets/1-6-ui-sprites-icons/general/verb-prompt-icons-7-sphere-verbs.asset-request.json
A0047,1.6 UI Sprites & Icons,general,Menu tab icons,OS-Ship,pending,,,,,preproduction/assets/1-6-ui-sprites-icons/general/menu-tab-icons.asset-request.json
A0048,1.6 UI Sprites & Icons,general,Accessibility icons,OS-Ship,pending,,,,,preproduction/assets/1-6-ui-sprites-icons/general/accessibility-icons.asset-request.json
A0049,1.6 UI Sprites & Icons,general,Input glyph packs (keyboard/controller/mobile touch),OS-Ship,pending,,,,,preproduction/assets/1-6-ui-sprites-icons/general/input-glyph-packs-keyboard-controller-mobile-touch.asset-request.json
A0050,"1.7 Portraits, Cut-ins, and Narrative Panels",general,"Key story portrait set (Pilgrim, Sophene, Governors)",Custom,pending,,,,,preproduction/assets/1-7-portraits-cut-ins-and-narrative-panels/general/key-story-portrait-set-pilgrim-sophene-governors.asset-request.json
A0051,"1.7 Portraits, Cut-ins, and Narrative Panels",general,Act NPC portrait library,OS-Temp -> Custom,pending,,,,,preproduction/assets/1-7-portraits-cut-ins-and-narrative-panels/general/act-npc-portrait-library.asset-request.json
A0052,"1.7 Portraits, Cut-ins, and Narrative Panels",general,Memory flashback panel assets,Custom,pending,,,,,preproduction/assets/1-7-portraits-cut-ins-and-narrative-panels/general/memory-flashback-panel-assets.asset-request.json
A0053,"1.7 Portraits, Cut-ins, and Narrative Panels",general,Ending panel art,Custom,pending,,,,,preproduction/assets/1-7-portraits-cut-ins-and-narrative-panels/general/ending-panel-art.asset-request.json
A0054,2.1 Character Animation Data,general,4/8-direction locomotion for player,UNCLASSIFIED,pending,,,,,preproduction/assets/2-1-character-animation-data/general/4-8-direction-locomotion-for-player.asset-request.json
A0055,2.1 Character Animation Data,general,interaction loops,UNCLASSIFIED,pending,,,,,preproduction/assets/2-1-character-animation-data/general/interaction-loops.asset-request.json
A0056,2.1 Character Animation Data,general,stumble/obscuration loops,UNCLASSIFIED,pending,,,,,preproduction/assets/2-1-character-animation-data/general/stumble-obscuration-loops.asset-request.json
A0057,2.1 Character Animation Data,general,stillness meditation loops,UNCLASSIFIED,pending,,,,,preproduction/assets/2-1-character-animation-data/general/stillness-meditation-loops.asset-request.json
A0058,2.1 Character Animation Data,general,each verb-specific animation states,UNCLASSIFIED,pending,,,,,preproduction/assets/2-1-character-animation-data/general/each-verb-specific-animation-states.asset-request.json
A0059,2.1 Character Animation Data,general,"NPC ambient loops (sit, converse, gesture, pray, archive, patrol)",UNCLASSIFIED,pending,,,,,preproduction/assets/2-1-character-animation-data/general/npc-ambient-loops-sit-converse-gesture-pray-archive-patrol.asset-request.json
A0060,2.2 VFX Animation Sheets,general,hit spark sheets,UNCLASSIFIED,pending,,,,,preproduction/assets/2-2-vfx-animation-sheets/general/hit-spark-sheets.asset-request.json
A0061,2.2 VFX Animation Sheets,general,aura loops,UNCLASSIFIED,pending,,,,,preproduction/assets/2-2-vfx-animation-sheets/general/aura-loops.asset-request.json
A0062,2.2 VFX Animation Sheets,general,dissolve/reveal loops,UNCLASSIFIED,pending,,,,,preproduction/assets/2-2-vfx-animation-sheets/general/dissolve-reveal-loops.asset-request.json
A0063,2.2 VFX Animation Sheets,general,screen-space overlays,UNCLASSIFIED,pending,,,,,preproduction/assets/2-2-vfx-animation-sheets/general/screen-space-overlays.asset-request.json
A0064,3.1 Music,general,Main theme,UNCLASSIFIED,pending,,,,,preproduction/assets/3-1-music/general/main-theme.asset-request.json
A0065,3.1 Music,general,Metaxy exploration loop,UNCLASSIFIED,pending,,,,,preproduction/assets/3-1-music/general/metaxy-exploration-loop.asset-request.json
A0066,3.1 Music,general,7 act ambient suites,UNCLASSIFIED,pending,,,,,preproduction/assets/3-1-music/general/7-act-ambient-suites.asset-request.json
A0067,3.1 Music,general,7 Plateau social themes,UNCLASSIFIED,pending,,,,,preproduction/assets/3-1-music/general/7-plateau-social-themes.asset-request.json
A0068,3.1 Music,general,7 Governor trial themes,UNCLASSIFIED,pending,,,,,preproduction/assets/3-1-music/general/7-governor-trial-themes.asset-request.json
A0069,3.1 Music,general,memory scene motifs,UNCLASSIFIED,pending,,,,,preproduction/assets/3-1-music/general/memory-scene-motifs.asset-request.json
A0070,3.1 Music,general,"ending suites (true, reincarnation, vow-return, soft, false)",UNCLASSIFIED,pending,,,,,preproduction/assets/3-1-music/general/ending-suites-true-reincarnation-vow-return-soft-false.asset-request.json
A0071,3.2 Sound Effects,general,UI navigation sounds,UNCLASSIFIED,pending,,,,,preproduction/assets/3-2-sound-effects/general/ui-navigation-sounds.asset-request.json
A0072,3.2 Sound Effects,general,dialogue select/confirm sounds,UNCLASSIFIED,pending,,,,,preproduction/assets/3-2-sound-effects/general/dialogue-select-confirm-sounds.asset-request.json
A0073,3.2 Sound Effects,general,movement/footstep sets by surface,UNCLASSIFIED,pending,,,,,preproduction/assets/3-2-sound-effects/general/movement-footstep-sets-by-surface.asset-request.json
A0074,3.2 Sound Effects,general,interaction sounds by prop category,UNCLASSIFIED,pending,,,,,preproduction/assets/3-2-sound-effects/general/interaction-sounds-by-prop-category.asset-request.json
A0075,3.2 Sound Effects,general,spell/verb ability sounds,UNCLASSIFIED,pending,,,,,preproduction/assets/3-2-sound-effects/general/spell-verb-ability-sounds.asset-request.json
A0076,3.2 Sound Effects,general,encounter telegraph/warning sounds,UNCLASSIFIED,pending,,,,,preproduction/assets/3-2-sound-effects/general/encounter-telegraph-warning-sounds.asset-request.json
A0077,3.2 Sound Effects,general,trial event sounds,UNCLASSIFIED,pending,,,,,preproduction/assets/3-2-sound-effects/general/trial-event-sounds.asset-request.json
A0078,3.2 Sound Effects,general,"ambient location loops (wind, room tone, crowd murmur)",UNCLASSIFIED,pending,,,,,preproduction/assets/3-2-sound-effects/general/ambient-location-loops-wind-room-tone-crowd-murmur.asset-request.json
A0079,3.3 Voice Assets,general,placeholder VO for timing/prototype,UNCLASSIFIED,pending,,,,,preproduction/assets/3-3-voice-assets/general/placeholder-vo-for-timing-prototype.asset-request.json
A0080,3.3 Voice Assets,general,"final VO recordings (player, Sophene, Governors, key NPCs)",UNCLASSIFIED,pending,,,,,preproduction/assets/3-3-voice-assets/general/final-vo-recordings-player-sophene-governors-key-npcs.asset-request.json
A0081,3.3 Voice Assets,general,effort sounds/breaths/reactions,UNCLASSIFIED,pending,,,,,preproduction/assets/3-3-voice-assets/general/effort-sounds-breaths-reactions.asset-request.json
A0082,4.1 Dialogue & Script Data,general,mainline dialogue scripts,UNCLASSIFIED,pending,,,,,preproduction/assets/4-1-dialogue-script-data/general/mainline-dialogue-scripts.asset-request.json
A0083,4.1 Dialogue & Script Data,general,side quest dialogue scripts,UNCLASSIFIED,pending,,,,,preproduction/assets/4-1-dialogue-script-data/general/side-quest-dialogue-scripts.asset-request.json
A0084,4.1 Dialogue & Script Data,general,branching conditional responses,UNCLASSIFIED,pending,,,,,preproduction/assets/4-1-dialogue-script-data/general/branching-conditional-responses.asset-request.json
A0085,4.1 Dialogue & Script Data,general,silence nodes,UNCLASSIFIED,pending,,,,,preproduction/assets/4-1-dialogue-script-data/general/silence-nodes.asset-request.json
A0086,4.1 Dialogue & Script Data,general,hint lines for obscuration assists,UNCLASSIFIED,pending,,,,,preproduction/assets/4-1-dialogue-script-data/general/hint-lines-for-obscuration-assists.asset-request.json
A0087,4.2 Quest Data,general,critical path quest nodes,UNCLASSIFIED,pending,,,,,preproduction/assets/4-2-quest-data/general/critical-path-quest-nodes.asset-request.json
A0088,4.2 Quest Data,general,side quest node graphs,UNCLASSIFIED,pending,,,,,preproduction/assets/4-2-quest-data/general/side-quest-node-graphs.asset-request.json
A0089,4.2 Quest Data,general,failure/recovery branch states,UNCLASSIFIED,pending,,,,,preproduction/assets/4-2-quest-data/general/failure-recovery-branch-states.asset-request.json
A0090,4.2 Quest Data,general,reward and state mutation tables,UNCLASSIFIED,pending,,,,,preproduction/assets/4-2-quest-data/general/reward-and-state-mutation-tables.asset-request.json
A0091,4.3 Codex & Lore Data,general,sphere entries,UNCLASSIFIED,pending,,,,,preproduction/assets/4-3-codex-lore-data/general/sphere-entries.asset-request.json
A0092,4.3 Codex & Lore Data,general,governor entries,UNCLASSIFIED,pending,,,,,preproduction/assets/4-3-codex-lore-data/general/governor-entries.asset-request.json
A0093,4.3 Codex & Lore Data,general,plateau entries,UNCLASSIFIED,pending,,,,,preproduction/assets/4-3-codex-lore-data/general/plateau-entries.asset-request.json
A0094,4.3 Codex & Lore Data,general,relic entries,UNCLASSIFIED,pending,,,,,preproduction/assets/4-3-codex-lore-data/general/relic-entries.asset-request.json
A0095,4.3 Codex & Lore Data,general,question entries,UNCLASSIFIED,pending,,,,,preproduction/assets/4-3-codex-lore-data/general/question-entries.asset-request.json
A0096,5.1 Engine/Runtime Layer,general,2D renderer pipeline,UNCLASSIFIED,seeded,Godot Engine,https://raw.githubusercontent.com/godotengine/godot/master/README.md,MIT,Godot contributors,preproduction/assets/5-1-engine-runtime-layer/general/2d-renderer-pipeline.asset-request.json
A0097,5.1 Engine/Runtime Layer,general,tilemap loading and collision,UNCLASSIFIED,seeded,Godot Demo Projects,https://raw.githubusercontent.com/godotengine/godot-demo-projects/master/README.md,MIT,Godot contributors,preproduction/assets/5-1-engine-runtime-layer/general/tilemap-loading-and-collision.asset-request.json
A0098,5.1 Engine/Runtime Layer,general,animation state machine,UNCLASSIFIED,pending,,,,,preproduction/assets/5-1-engine-runtime-layer/general/animation-state-machine.asset-request.json
A0099,5.1 Engine/Runtime Layer,general,camera control + shake + deadzone,UNCLASSIFIED,pending,,,,,preproduction/assets/5-1-engine-runtime-layer/general/camera-control-shake-deadzone.asset-request.json
A0100,5.1 Engine/Runtime Layer,general,save/load serialization,UNCLASSIFIED,pending,,,,,preproduction/assets/5-1-engine-runtime-layer/general/save-load-serialization.asset-request.json
A0101,5.1 Engine/Runtime Layer,general,input abstraction,UNCLASSIFIED,pending,,,,,preproduction/assets/5-1-engine-runtime-layer/general/input-abstraction.asset-request.json
A0102,5.2 Gameplay Systems,general,dialogue runtime,UNCLASSIFIED,seeded,Ink,https://raw.githubusercontent.com/inkle/ink/master/README.md,MIT,inkle Ltd,preproduction/assets/5-2-gameplay-systems/general/dialogue-runtime.asset-request.json
A0103,5.2 Gameplay Systems,general,quest state machine,UNCLASSIFIED,pending,,,,,preproduction/assets/5-2-gameplay-systems/general/quest-state-machine.asset-request.json
A0104,5.2 Gameplay Systems,general,Coherence/Clarity managers,UNCLASSIFIED,pending,,,,,preproduction/assets/5-2-gameplay-systems/general/coherence-clarity-managers.asset-request.json
A0105,5.2 Gameplay Systems,general,garment weight modifiers,UNCLASSIFIED,pending,,,,,preproduction/assets/5-2-gameplay-systems/general/garment-weight-modifiers.asset-request.json
A0106,5.2 Gameplay Systems,general,resonance profile calculator,UNCLASSIFIED,pending,,,,,preproduction/assets/5-2-gameplay-systems/general/resonance-profile-calculator.asset-request.json
A0107,5.2 Gameplay Systems,general,memory lattice tracker,UNCLASSIFIED,pending,,,,,preproduction/assets/5-2-gameplay-systems/general/memory-lattice-tracker.asset-request.json
A0108,5.2 Gameplay Systems,general,daimon bond tracker,UNCLASSIFIED,pending,,,,,preproduction/assets/5-2-gameplay-systems/general/daimon-bond-tracker.asset-request.json
A0109,5.2 Gameplay Systems,general,encounter scripting framework,UNCLASSIFIED,pending,,,,,preproduction/assets/5-2-gameplay-systems/general/encounter-scripting-framework.asset-request.json
A0110,5.3 Tooling and Authoring,general,dialogue validators,UNCLASSIFIED,pending,,,,,preproduction/assets/5-3-tooling-and-authoring/general/dialogue-validators.asset-request.json
A0111,5.3 Tooling and Authoring,general,quest graph validators,UNCLASSIFIED,seeded,JSON Schema,https://raw.githubusercontent.com/json-schema-org/json-schema-spec/main/README.md,MIT,JSON Schema authors,preproduction/assets/5-3-tooling-and-authoring/general/quest-graph-validators.asset-request.json
A0112,5.3 Tooling and Authoring,general,localization extractor/importer,UNCLASSIFIED,seeded,Babel,https://raw.githubusercontent.com/python-babel/babel/master/README.rst,BSD-3-Clause,Python Babel contributors,preproduction/assets/5-3-tooling-and-authoring/general/localization-extractor-importer.asset-request.json
A0113,5.3 Tooling and Authoring,general,save migration tools,UNCLASSIFIED,seeded,Rich (CLI tooling),https://raw.githubusercontent.com/Textualize/rich/master/README.md,MIT,Textualize,preproduction/assets/5-3-tooling-and-authoring/general/save-migration-tools.asset-request.json
A0114,5.3 Tooling and Authoring,general,sprite atlas builders,UNCLASSIFIED,pending,,,,,preproduction/assets/5-3-tooling-and-authoring/general/sprite-atlas-builders.asset-request.json
A0115,5.3 Tooling and Authoring,general,batch importers,UNCLASSIFIED,seeded,GitHub Actions,https://raw.githubusercontent.com/actions/runner/main/README.md,MIT,GitHub,preproduction/assets/5-3-tooling-and-authoring/general/batch-importers.asset-request.json
A0116,5.4 Build/QA Infrastructure,general,CI runners,UNCLASSIFIED,seeded,Jenkins,https://raw.githubusercontent.com/jenkinsci/jenkins/master/README.md,MIT,Jenkins contributors,preproduction/assets/5-4-build-qa-infrastructure/general/ci-runners.asset-request.json
A0117,5.4 Build/QA Infrastructure,general,artifact packaging,UNCLASSIFIED,seeded,Pytest,https://raw.githubusercontent.com/pytest-dev/pytest/main/README.rst,MIT,pytest-dev,preproduction/assets/5-4-build-qa-infrastructure/general/artifact-packaging.asset-request.json
A0118,5.4 Build/QA Infrastructure,general,regression scripts,UNCLASSIFIED,seeded,OpenTelemetry,https://raw.githubusercontent.com/open-telemetry/opentelemetry-specification/main/README.md,Apache-2.0,OpenTelemetry Authors,preproduction/assets/5-4-build-qa-infrastructure/general/regression-scripts.asset-request.json
A0119,5.4 Build/QA Infrastructure,general,screenshot diff checks,UNCLASSIFIED,seeded,Pixelmatch,https://raw.githubusercontent.com/mapbox/pixelmatch/main/README.md,ISC,Mapbox,preproduction/assets/5-4-build-qa-infrastructure/general/screenshot-diff-checks.asset-request.json
A0120,5.4 Build/QA Infrastructure,general,perf telemetry collectors,UNCLASSIFIED,seeded,Sentry,https://raw.githubusercontent.com/getsentry/sentry/master/README.md,BSD-3-Clause,Sentry contributors,preproduction/assets/5-4-build-qa-infrastructure/general/perf-telemetry-collectors.asset-request.json
A0121,5.4 Build/QA Infrastructure,general,crash reporting integrations,UNCLASSIFIED,pending,,,,,preproduction/assets/5-4-build-qa-infrastructure/general/crash-reporting-integrations.asset-request.json
A0122,6) UI/UX Inventory,general,"HUD components (coherence, clarity, prompts)",UNCLASSIFIED,pending,,,,,preproduction/assets/6-ui-ux-inventory/general/hud-components-coherence-clarity-prompts.asset-request.json
A0123,6) UI/UX Inventory,general,inventory/relic panels,UNCLASSIFIED,pending,,,,,preproduction/assets/6-ui-ux-inventory/general/inventory-relic-panels.asset-request.json
A0124,6) UI/UX Inventory,general,codex screens,UNCLASSIFIED,pending,,,,,preproduction/assets/6-ui-ux-inventory/general/codex-screens.asset-request.json
A0125,6) UI/UX Inventory,general,accessibility menu,UNCLASSIFIED,pending,,,,,preproduction/assets/6-ui-ux-inventory/general/accessibility-menu.asset-request.json
A0126,6) UI/UX Inventory,general,save/load screens,UNCLASSIFIED,pending,,,,,preproduction/assets/6-ui-ux-inventory/general/save-load-screens.asset-request.json
A0127,6) UI/UX Inventory,general,settings pages,UNCLASSIFIED,pending,,,,,preproduction/assets/6-ui-ux-inventory/general/settings-pages.asset-request.json
A0128,6) UI/UX Inventory,general,dialogue wheel interface,UNCLASSIFIED,pending,,,,,preproduction/assets/6-ui-ux-inventory/general/dialogue-wheel-interface.asset-request.json
A0129,6) UI/UX Inventory,general,controller/touch overlays,UNCLASSIFIED,pending,,,,,preproduction/assets/6-ui-ux-inventory/general/controller-touch-overlays.asset-request.json
A0130,7) Localization & Accessibility Inventory,general,localization string database,UNCLASSIFIED,pending,,,,,preproduction/assets/7-localization-accessibility-inventory/general/localization-string-database.asset-request.json
A0131,7) Localization & Accessibility Inventory,general,font families for extended language sets,UNCLASSIFIED,pending,,,,,preproduction/assets/7-localization-accessibility-inventory/general/font-families-for-extended-language-sets.asset-request.json
A0132,7) Localization & Accessibility Inventory,general,subtitle rendering styles,UNCLASSIFIED,pending,,,,,preproduction/assets/7-localization-accessibility-inventory/general/subtitle-rendering-styles.asset-request.json
A0133,7) Localization & Accessibility Inventory,general,colorblind palette options,UNCLASSIFIED,pending,,,,,preproduction/assets/7-localization-accessibility-inventory/general/colorblind-palette-options.asset-request.json
A0134,7) Localization & Accessibility Inventory,general,dyslexia-friendly font option,UNCLASSIFIED,pending,,,,,preproduction/assets/7-localization-accessibility-inventory/general/dyslexia-friendly-font-option.asset-request.json
A0135,7) Localization & Accessibility Inventory,general,audio captions and silence cues,UNCLASSIFIED,pending,,,,,preproduction/assets/7-localization-accessibility-inventory/general/audio-captions-and-silence-cues.asset-request.json
A0136,7) Localization & Accessibility Inventory,general,remapping presets,UNCLASSIFIED,pending,,,,,preproduction/assets/7-localization-accessibility-inventory/general/remapping-presets.asset-request.json
A0137,8) Marketing/Store/Community Asset Inventory,general,key art,UNCLASSIFIED,pending,,,,,preproduction/assets/8-marketing-store-community-asset-inventory/general/key-art.asset-request.json
A0138,8) Marketing/Store/Community Asset Inventory,general,capsule images (Steam/mobile),UNCLASSIFIED,pending,,,,,preproduction/assets/8-marketing-store-community-asset-inventory/general/capsule-images-steam-mobile.asset-request.json
